Harbour,Harbour Code,Harbour Type,Province,Region,Harbour Authority Name,Latitude,Longitude,Total Replacement Cost,Harbour Infrastructure Condition,Degree of Facility Protection
Bayfield - Commercial Fishing Facility,4978,Core,ON,C&A,,43.56934,-81.7048,1325223,2.7,3
Rondeau (Erieau),4797,Core,ON,C&A,Erieau Harbour Authority,42.2608,-81.9085,20628143,3.3,4
Wheatley,4873,Core,ON,C&A,Wheatley Harbour Authority Corporation,42.06258,-82.46482,19394638,3.2,2
Auld's Cove,1010,Core,NS,M&G,Harbour Authority of Auld's Cove,45.6482,-61.4352,1555000,3.1,1
Centreville (Trout Cove),1051,Core,NS,M&G,Harbour Authority of Centreville (Trout Cove),44.5511,-66.0332,7650000,2.3,4
Ingalls Head,2265,Core,NB,M&G,Grand Manan Harbour Authority,44.662,-66.7563,21270000,3.1,4
Machons Point,2041,Core,PEI,M&G,Harbour Authority of Machons Point,46.0139,-62.5138,2525000,2.8,3
Meteghan,1205,Core,NS,M&G,Harbour Authority of Meteghan,44.1941,-66.1666,16500000,3.6,4
North Head - Fishermen's Wharf,2603,Core,NB,M&G,Grand Manan Harbour Authority,44.7628,-66.7502,17808000,3.2,2
Pinkney's Point,1241,Core,NS,M&G,Harbour Authority of Pinkney's Point,43.704,-66.0542,6395000,3.1,5
Sainte-Marie-Sur-Mer,2640,Core,NB,M&G,Administration Portuaire de Ste-Marie-St-Raphaël,47.7806,-64.5648,7690000,2.9,3
Seal Cove - Fisherman's Wharves,2626,Core,NB,M&G,Grand Manan Harbour Authority,44.6484,-66.8399,19475000,4.1,4
Bartletts Harbour,21,Core,NFLD,NFLD,Harbour Authority of Bartlett's Harbour  ,50.94221,-56.99149,1288477,1.2, 1
Bauline Harbour,24,Core,NFLD,NFLD,Harbour Authority of Bauline,47.72317,-52.84341,4985326,4.1, 4
Pool's Cove,396,Core,NFLD,NFLD,Harbour Authority of Pool's Cove,47.6803,-55.4298,1583010,3.9, 3
Twillingate (Shoal Tickle),531,Core,NFLD,NFLD,Harbour Authority of Twillingate,49.64654,-54.7701,7235210,4.7, 4
Bamfield West,6009,Core,BC,PAC,Bamfield Harbour Authority,48.829,-125.14041,1228837,3,1
Cowichan Bay,6031,Core,BC,PAC,Cowichan Bay Fisherman's Wharf Association,48.74112,-123.61767,8070004,2.7,2
Fanny Bay,6043,Core,BC,PAC,Fanny Bay Harbour Authority,49.50729,-124.82776,5662780,3.9,2
Ucluelet West,6189,Core,BC,PAC,District of Ucluelet,48.9454,-125.55386,6125030,3.4,1
Etang-du-Nord,3574,Core,QUE,QC,Administration du havre de pêche de L'Étang-Du-Nord ,47.36995,-61.9587,38866200,2.7,3
Les Escoumins (Basques),4035,Core,QUE,QC,Administration portuaire de Les Escoumins  ,48.3461,-69.3894,4658000,2.4,2
Mont-Louis Ouest,3695,Core,QUE,QC,Administration portuaire Mont-Louis,49.2348,-65.7367,21304450,3.2,3
Tourelles (St-Joachim),3862,Core,QUE,QC,Administration portuaire de Tourelles,49.15824,-66.41807,19527250,2.7,4
