FID_,HarbName,HarbourCod,HarbourTyp,Harbour_Co,TotalRepla,HarbLat,HarbLong
,ABRAHAMS COVE,1,Core,2.5,15052.510000000000000,48.519599999999997,-58.915100000000002
,ADMIRALS BEACH,3,Core,3.146346362,1614883.310000000100000,47.006100000000004,-53.643799999999999
,ANCHOR POINT,6,Core,3.557743518,3099009.529999999800000,51.233300000000000,-56.799999999999997
,AQUAFORTE,9,Core,2.827742635,920898.859999999990000,47.006700000000002,-52.956899999999997
,ARNOLD'S COVE,11,Core,3.642637865,7822288.809999999600000,47.758400000000002,-53.990200000000002
,ASPEN COVE,12,Core,2,506597.780000000030000,49.462499999999999,-54.107300000000002
,BAINE HARBOUR,14,Core,3.381945158,1537192.300000000000000,47.360480000000003,-54.896200000000000
,BAKERS BROOK,15,Non-Core,3.5,20000.000000000000000,49.651649999999997,-57.960599999999999
,BANK HEAD COVE,16,Non-Core,3,5209.890000000000300,48.370899999999999,-58.678600000000003
,BARR'D HARBOUR,19,Core,4.144872739,674657.500000000000000,50.816800000000001,-57.063600000000001
,BARR'D ISLANDS,20,Non-Core,0.418089141,297088.510000000010000,49.724649999999997,-54.187300000000000
,BARTLETTS HARBOUR,21,Core,1.228253749,1288476.800000000000000,50.942210000000003,-56.991489999999999
,BAULINE,24,Core,4.135671458,4985325.990000000200000,47.723170000000003,-52.834099999999999
,BAULINE EAST,25,Core,2.813508163,369910.690000000000000,47.180100000000003,-52.843899999999998
,BAY BULLS,26,Core,4.757332289,4475309.870000000100000,47.315199999999997,-52.812199999999997
,BAY DE VERDE,28,Core,2.873707106,18238258.770000000000000,48.084200000000003,-52.897900000000000
,BAY L'ARGENT,30,Non-Core,3.19215379,378233.039999999980000,47.548299999999998,-54.879199999999997
,BAY ROBERTS,31,Core,3.295458425,1115738.399999999900000,47.589900000000000,-53.266700000000000
,BEAUMONT,34,Core,3.55802352,1580863.330000000100000,49.614620000000002,-55.678800000000003
,BIG BROOK,40,Core,2.636234937,762931.760000000010000,51.521500000000003,-56.147500000000001
,BIRCHY BAY,41,#N/A,#N/A,0.000000000000000,49.363199999999999,-54.728800000000000
,BIRD COVE,43,Core,4.544310026,1137340.260000000000000,51.052599999999998,-56.934600000000003
,BLACK DUCK BROOK,45,Core,2.10913207,318579.909999999970000,48.701509999999999,-58.903300000000002
,BLACK DUCK COVE,46,Core,4.148070854,3877724.100000000100000,51.197299999999998,-56.799100000000003
,BLUE BEACH,51,Core,2.159415389,2815194.049999999800000,48.766500000000001,-58.786999999999999
,BLUE COVE,52,Core,4.850846329,838849.969999999970000,51.096100000000000,-56.872399999999999
,BONAVISTA,54,Core,2.410757449,11547583.570000000000000,48.649999999999999,-53.116700000000002
,BOXEY,55,Core,3.383470813,1584184.000000000000000,47.451400000000000,-55.558000000000000
,BRAGG'S ISLAND,57,Non-Core,0,129723.740000000010000,48.933199999999999,-53.671900000000001
,BRANCH,58,Core,3.458189209,4575778.290000000000000,46.882309999999997,-53.951300000000003
,BRIDGEPORT,59,Core,3.835458925,1962761.399999999900000,49.550300000000000,-54.873199999999997
,BRIG BAY,60,Core,1.636518822,474778.299999999990000,51.064200000000000,-56.909500000000001
