Harbour Province Name,SCH Harbour Code,Harbour Name,Number,Name,,A,B,C,"Average Landed Value, 2009-2013 ($CAD)","Average Landed Quantity, 2009-2013 (KG)",Change in Total Landed Quantity (2004 and 2013),Number of Active Vessels Port of Landing (2013),"Number of Active Vessels, Port of Landing (2009-2013)",Average Fishing Income (2009-2012),Average Income with Tax Filers (2009-2012),% of Average Fishing Income to Average Employment Income (2009-2012) (based on 2006 CSD boundaries),Total Population For CSD (2011),,
Nova Scotia,1001,ABBOTT'S HARBOUR,1202001,Argyle,11305,Shellfish - Lobster,Pelagic - Other,Pelagic - Herring,3049458,324676,-0.3384,11,15,8301417,26998789,0.3075,8252,,
Newfoundland & Labrador,1,ABRAHAMS COVE,1004022,"Division No.  4, Subd. E",11402,Shellfish - Lobster,Shellfish - Snow Crab,Shellfish - Other,122133,15635,-0.1669,2,3,33,800,0.0414,1973,,
Prince Edward Island,2021,ABRAMS VILLAGE,1103026,Lot 15,13410,Shellfish - Lobster,Shellfish - Sea Scallop,Pelagic - Other,2935,1627,-0.2503,NA,1,NA,NA,NA,1122,,
Newfoundland & Labrador,3,ADMIRALS BEACH,1001155,"Division No.  1, Subd. W",13608,Shellfish - Lobster,Shellfish - Sea Scallop,Groundfish - Haddock,1406550,472824,0.1659,11,8,NA,NA,NA,511,,
Newfoundland & Labrador,,ADMIRAL'S COVE,1001124,"Division No.  1, Subd. U",,,,,19401,5342,NA,NA,1,348377,5856258,0.0595,1489,,
Nova Scotia,1002,ADVOCATE HARBOUR,1211001,"Cumberland, Subd. A",13721,N/A,N/A,N/A,3320319,598517,-0.1180,8,9,190807,3525172,0.0541,2141,,
Quebec,3502,AGUANISH,2498030,West,,,,,7794,893,-0.0444,1,1,134598,1232013,0.1093,278,,
Prince Edward Island,2001,ALBERTON (NORTHPORT),1103049,Lot  5,,,,,62278,24318,-0.1934,1,1,118934,2011504,0.0591,1337,,
Nova Scotia,1003,ALDER POINT,1217030,Cape Breton,,,,,3001433,358963,-0.3692,29,40,4980681,329033792,0.0151,97398,,
New Brunswick,,ALDOUANE,1308019,,,,,,34533,14970,-0.9471,1,2,NA,NA,NA,1982,,
Prince Edward Island,,ALEXANDRA,1102012,,,,,,7203,2771,-0.1908,NA,0,NA,NA,NA,1077,,
Nova Scotia,,ALLENDALE,1201006,Shelburne,,,,,27931,70063,-0.8782,NA,1,622600,2383982,0.2612,4408,,
New Brunswick,2501,ALMA,1306006,Alma,,,,,4366503,730803,0.3479,11,15,163825,738998,0.2217,232,,
Newfoundland & Labrador,6,ANCHOR POINT,1009023,Anchor Point,,,,,106730,54678,-0.8639,5,7,591718,1514900,0.3906,326,,
Prince Edward Island,2003,ANNANDALE,1101029,Lot 56,,,,,2059011,298399,0.4942,25,26,NA,NA,NA,413,,
Nova Scotia,,ANNAPOLIS RIVER,,,,,,,15031,6233,-0.7000,1,1,NA,NA,NA,NA,,
Nova Scotia,,ANNAPOLIS ROYAL,1205008,,,,,,2072487,120552,-0.8870,1,3,188980,4899666,0.0386,481,,
Quebec,,ANSE DES MECHINS,2402005,Percé,,,,,636677,217692,-0.4843,3,5,978725,7646058,0.1280,3312,,
Quebec,,ANTICOSTI PORT MENIER,,,,,,,64330,6113,5.8204,1,1,NA,NA,NA,NA,,
